Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
036209-00,Herbizid,Iodosulfuron,93.1,g/l,Methylester-Na,100,g/l,0,2
027603-00,Herbizid,Mefenpyr,240.5,g/l,Diethylester,250,g/l,0,
027603-00,Herbizid,Iodosulfuron,46.56,g/l,Methylester-Na,50,g/l,0,2
027603-00,Herbizid,Mesosulfuron,7.29,g/l,Methylester-Na,7.83,g/l,0,2
008818-00,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
006275-62,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
027821-65,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027821-65,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
00A552-00,Herbizid,Mefenpyr,95.5,g/kg,Diethylester,112.5,g/kg,0,
00A552-00,Herbizid,Mesosulfuron,45,g/kg,Methylester-Na,47,g/kg,0,2
00A552-00,Herbizid,Thiencarbazone,15,g/kg,Methylester-Na,15.8,g/kg,0,2
060122-85,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-85,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
007932-60,Herbizid,Metobromuron,500,g/l,"",,"",0,5
028610-61,Herbizid,Amidosulfuron,50,g/kg,Natrium-Salz,53,g/kg,0,2
028610-61,Herbizid,Mefenpyr,86.58,g/kg,Diethylester,90,g/kg,0,
028610-61,Herbizid,Iodosulfuron,9.312,g/kg,Methylester-Na,10,g/kg,0,2
028610-61,Herbizid,Mesosulfuron,29.16,g/kg,Methylester-Na,31.324,g/kg,0,2
007818-60,Herbizid,Bifenox,480,g/l,"",,"",0,14
007818-60,Herbizid,Florasulam,5,g/l,"",,"",0,2
024602-60,Herbizid,Metsulfuron,96.3,g/kg,Methylester,100,g/kg,0,2
024602-60,Herbizid,Carfentrazone,372.8,g/kg,Ethylester,400,g/kg,0,14
006288-60,Herbizid,Metazachlor,200,g/l,"",,"",0,15
006288-60,Herbizid,Dimethenamid-P,200,g/l,"",,"",0,15
044660-63,Herbizid,Mesotrione,100,g/l,"",,"",0,27
006960-60,Herbizid,Nicosulfuron,30,g/l,"",,"",0,2
006960-60,Herbizid,Mesotrione,75,g/l,"",,"",0,27
006839-60,Herbizid,Pendimethalin,400,g/l,"",,"",0,3
044622-60,Herbizid,Florasulam,50,g/l,"",,"",0,2
025078-60,Herbizid,Pethoxamid,600,g/l,"",,"",0,15
007738-00,Herbizid,Nicosulfuron,240,g/l,"",,"",0,2
00A432-00,Herbizid,Clomazone,80,g/l,"",,"",0,13
00A432-00,Herbizid,Mesotrione,150,g/l,"",,"",0,27
00A197-61,Herbizid,Isoxadifen,108.1,g/l,Ethylester,134,g/l,0,
00A197-61,Herbizid,Tembotrione,345,g/l,"",,"",0,27
00A197-61,Herbizid,Thiencarbazone,65.55,g/l,Methylester,68,g/l,0,2
00A431-00,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,640.3,g/l,0,4
060122-90,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-90,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00B141-60,Herbizid,Clethodim,240,g/l,"",,"",0,1
008324-00,Herbizid,Diflufenican,14,g/l,"",,"",0,12
008324-00,Herbizid,Prosulfocarb,667,g/l,"",,"",0,15
00A952-00,Herbizid,Diflufenican,14,g/l,"",,"",0,12
00A952-00,Herbizid,Prosulfocarb,667,g/l,"",,"",0,15
00B289-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A588-00,Herbizid,Nicosulfuron,30,g/l,"",,"",0,2
00A588-00,Herbizid,Mesotrione,80,g/l,"",,"",0,27
00B068-00,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
028571-60,Herbizid,Mefenpyr,114.7,g/kg,Diethylester,135,g/kg,0,
028571-60,Herbizid,Iodosulfuron,8.39,g/kg,Methylester-Na,9,g/kg,0,2
028571-60,Herbizid,Mesosulfuron,41.87,g/kg,Methylester-Na,47,g/kg,0,2
028571-60,Herbizid,Thiencarbazone,21.7,g/kg,Methylester-Na,23.8,g/kg,0,2
00A311-00,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
008288-61,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
007958-62,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
006911-00,Herbizid,Metazachlor,300,g/l,"",,"",0,15
006911-00,Herbizid,Quinmerac,100,g/l,"",,"",0,4
006911-00,Herbizid,Dimethenamid-P,100,g/l,"",,"",0,15
034837-60,Herbizid,Flazasulfuron,250,g/kg,"",,"",0,2
008527-00,Herbizid,Pelargonsäure,500,g/l,"",,"",0,
034409-64,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
00A504-60,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
00A810-60,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
006220-00,Herbizid,Propyzamid,400,g/l,"",,"",0,3
060122-68,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-68,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008309-00,Herbizid,Metamitron,571,g/l,"",,"",0,5
008309-00,Herbizid,Quinmerac,71,g/l,"",,"",0,4
008337-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
008450-00,Herbizid,MCPA,233,g/l,Kalium-Salz,277.3,g/l,0,4
008450-00,Herbizid,Clopyralid,28,g/l,Monoethanolamin-Salz,36.9,g/l,0,4
008450-00,Herbizid,Fluroxypyr,50,g/l,1-Methyl-heptylester,72,g/l,0,4
006914-65,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
060122-73,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-73,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
028938-00,Herbizid,Clopyralid,120,g/l,"",,"",0,4
028938-00,Herbizid,Halauxifen-methyl,5,g/l,"",,"",0,4
007200-00,Herbizid,"2,4-D",160,g/l,Dimethylamin-Salz,192.7,g/l,0,4
007200-00,Herbizid,Glyphosat,240,g/l,Isopropylamin-Salz,324,g/l,0,9
00A767-00,Herbizid,Picloram,48,g/l,"",,"",0,4
00A767-00,Herbizid,Aminopyralid,32,g/l,"",,"",0,4
00A767-00,Herbizid,Halauxifen-methyl,10,g/l,"",,"",0,4
00A606-62,Herbizid,Clopyralid,80,g/l,"",,"",0,4
00A606-62,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
00A606-62,Herbizid,Florasulam,2.5,g/l,"",,"",0,2
008288-62,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
060122-89,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-89,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
026923-61,Herbizid,Glyphosat,480,g/l,Dimethylamin-Salz,608,g/l,0,9
008047-72,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-62,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-62,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
026255-00,Herbizid,"","","",Ethylester,22,g/l,0,
026255-00,Herbizid,Tembotrione,44,g/l,"",,"",0,27
007463-00,Herbizid,Isoxadifen,90.5,g/kg,Ethylester,100,g/kg,0,
007463-00,Herbizid,Tembotrione,200,g/kg,"",,"",0,27
00A123-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
033231-00,Herbizid,Pyridat,450,g/kg,"",,"",0,6
043753-00,Herbizid,Chlortoluron,700,g/l,"",,"",0,
00A391-00,Herbizid,Quizalofop-P-ethyl,50,g/l,"",,"",0,
00A152-00,Herbizid,Clomazone,360,g/l,"",,"",0,13
00A265-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
006914-63,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
028124-61,Herbizid,Mesotrione,100,g/l,"",,"",0,27
007865-00,Herbizid,Clopyralid,600,g/l,Dimethylamin-Salz,741,g/l,0,4
006851-00,Herbizid,Clopyralid,720,g/kg,"",,"",0,4
005747-69,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-69,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-69,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-69,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
008996-61,Herbizid,Mefenpyr,86.6,g/kg,Diethylester,90,g/kg,0,
008996-61,Herbizid,Iodosulfuron,5.6,g/kg,Methylester-Na,6,g/kg,0,2
008996-61,Herbizid,Mesosulfuron,29.2,g/kg,Methylester,30,g/kg,0,2
044660-67,Herbizid,Mesotrione,100,g/l,"",,"",0,27
044660-65,Herbizid,Mesotrione,100,g/l,"",,"",0,27
005950-60,Herbizid,Thifensulfuron,480.6,g/kg,Methylester,500,g/kg,0,2
008414-00,Herbizid,Diflufenican,500,g/l,"",,"",0,12
00A553-00,Herbizid,Quizalofop-P-ethyl,100,g/l,"",,"",0,
00A485-00,Herbizid,Quizalofop-P-ethyl,50,g/l,"",,"",0,
00A076-60,Herbizid,Dicamba,480,g/l,"",,"",0,4
024440-00,Herbizid,Dicamba,700,g/kg,Natrium-Salz,770,g/kg,0,4
007424-00,Herbizid,Iodosulfuron,0.85,g/l,Methylester-Na,1,g/l,0,2
007424-00,Herbizid,Foramsulfuron,30,g/l,Natrium-Salz,31.5,g/l,0,2
007424-00,Herbizid,Cyprosulfamide,15,g/l,"",,"",0,
007424-00,Herbizid,Thiencarbazone,9.77,g/l,Methylester,10,g/l,0,2
060122-76,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-76,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
044660-62,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A163-00,Herbizid,Aclonifen,500,g/l,"",,"",0,32
00A163-00,Herbizid,Diflufenican,100,g/l,"",,"",0,12
00A711-00,Herbizid,Florasulam,100,g/l,"",,"",0,2
060939-68,Herbizid,MCPA,500,g/l,Dimethylamin-Salz,612.35,g/l,0,4
00A190-60,Herbizid,Metamitron,700,g/l,"",,"",0,5
044660-66,Herbizid,Mesotrione,100,g/l,"",,"",0,27
008993-00,Herbizid,Pendimethalin,333,g/l,"",,"",0,3
008993-00,Herbizid,Diflufenican,20,g/l,"",,"",0,12
008993-00,Herbizid,Flufenacet,80,g/l,"",,"",0,15
00B159-00,Herbizid,Terbuthylazin,375,g/l,"",,"",0,5
00B159-00,Herbizid,Isoxaflutole,50,g/l,"",,"",0,27
00B159-00,Herbizid,Cyprosulfamide,50,g/l,"",,"",0,
00A980-00,Herbizid,Isoxaflutole,240,g/l,"",,"",0,27
00A980-00,Herbizid,Cyprosulfamide,240,g/l,"",,"",0,
008548-00,Herbizid,Diflufenican,200,g/l,"",,"",0,12
008548-00,Herbizid,Flufenacet,400,g/l,"",,"",0,15
008517-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
044660-60,Herbizid,Mesotrione,100,g/l,"",,"",0,27
005338-60,Herbizid,Metamitron,696,g/l,"",,"",0,5
00A534-00,Herbizid,Ethofumesat,150,g/l,"",,"",0,
00A534-00,Herbizid,Metamitron,350,g/l,"",,"",0,5
00A256-60,Herbizid,Metamitron,700,g/l,"",,"",0,5
00B294-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
005945-61,Herbizid,Nicosulfuron,60,g/l,"",,"",0,2
005945-00,Herbizid,Nicosulfuron,60,g/l,"",,"",0,2
007726-00,Herbizid,Propyzamid,500,g/l,"",,"",0,3
007726-00,Herbizid,Aminopyralid,5.3,g/l,Kalium-Salz,6.3,g/l,0,4
033838-62,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
006914-64,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
00A256-00,Herbizid,Metamitron,700,g/l,"",,"",0,5
007525-00,Herbizid,Glyphosat,720,g/kg,Ammonium-Salz,792,g/kg,0,9
008627-61,Herbizid,Quizalofop-P-ethyl,50,g/l,"",,"",0,
024645-65,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
005945-63,Herbizid,Nicosulfuron,60,g/l,"",,"",0,2
005945-64,Herbizid,Nicosulfuron,60,g/l,"",,"",0,2
006766-00,Herbizid,Ethofumesat,500,g/l,"",,"",0,
00A400-00,Herbizid,Napropamid,450,g/l,"",,"",0,
007958-63,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
00B076-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,486,g/l,0,9
060122-59,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-59,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
024345-69,Herbizid,Essigsäure,102,g/l,"",,"",0,
024345-71,Herbizid,Essigsäure,102,g/l,"",,"",0,
024345-70,Herbizid,Essigsäure,102,g/l,"",,"",0,
024345-67,Herbizid,Essigsäure,102,g/l,"",,"",0,
00A569-00,Herbizid,Quizalofop-P-ethyl,50,g/l,"",,"",0,
008996-00,Herbizid,Mefenpyr,86.6,g/kg,Diethylester,90,g/kg,0,
008996-00,Herbizid,Iodosulfuron,5.6,g/kg,Methylester-Na,6,g/kg,0,2
008996-00,Herbizid,Mesosulfuron,29.2,g/kg,Methylester,30,g/kg,0,2
006946-00,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
008384-60,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
008384-00,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
025306-00,Herbizid,Metazachlor,250,g/l,"",,"",0,15
025306-00,Herbizid,Clomazone,33.3,g/l,"",,"",0,13
034409-00,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
005945-60,Herbizid,Nicosulfuron,60,g/l,"",,"",0,2
007366-00,Herbizid,Aclonifen,500,g/kg,"",,"",0,32
007366-00,Herbizid,Clomazone,30,g/kg,"",,"",0,13
044895-00,Herbizid,Flumioxazin,500,g/kg,"",,"",0,14
006281-61,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.6,g/l,0,9
005338-62,Herbizid,Metamitron,696,g/l,"",,"",0,5
00A607-60,Herbizid,Mefenpyr,76.47,g/kg,Diethylester,90,g/kg,0,
00A607-60,Herbizid,Iodosulfuron,5.59,g/kg,Methylester-Na,6,g/kg,0,2
00A607-60,Herbizid,Mesosulfuron,29.16,g/kg,Methylester,30,g/kg,0,2
00A533-00,Herbizid,Ethofumesat,500,g/l,"",,"",0,
007481-00,Herbizid,Dicamba,700,g/kg,Natrium-Salz,769.7,g/kg,0,4
028571-61,Herbizid,Mefenpyr,114.7,g/kg,Diethylester,135,g/kg,0,
028571-61,Herbizid,Iodosulfuron,8.39,g/kg,Methylester-Na,9,g/kg,0,2
028571-61,Herbizid,Mesosulfuron,41.87,g/kg,Methylester-Na,47,g/kg,0,2
028571-61,Herbizid,Thiencarbazone,21.7,g/kg,Methylester-Na,23.8,g/kg,0,2
008271-00,Herbizid,Fluroxypyr,135,g/l,1-Methyl-heptylester,194.5,g/l,0,4
008271-00,Herbizid,Metsulfuron,4.816,g/l,Methylester,5,g/l,0,2
008271-00,Herbizid,Thifensulfuron,28.914,g/l,Methylester,30,g/l,0,2
008118-00,Herbizid,Pyridat,600,g/l,"",,"",0,6
005322-60,Herbizid,Carfentrazone,371.79,g/kg,Ethylester,400,g/kg,0,14
060122-58,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-58,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A191-60,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
00A191-60,Herbizid,Florasulam,2,g/l,"",,"",0,2
00B213-00,Herbizid,Fluroxypyr,98,g/l,1-Methyl-heptylester,141.12,g/l,0,4
00B213-00,Herbizid,Florasulam,2.45,g/l,"",,"",0,2
028610-60,Herbizid,Amidosulfuron,50,g/kg,Natrium-Salz,53,g/kg,0,2
028610-60,Herbizid,Mefenpyr,86.58,g/kg,Diethylester,90,g/kg,0,
028610-60,Herbizid,Iodosulfuron,9.312,g/kg,Methylester-Na,10,g/kg,0,2
028610-60,Herbizid,Mesosulfuron,29.16,g/kg,Methylester-Na,31.324,g/kg,0,2
008400-61,Herbizid,Flufenacet,480,g/l,"",,"",0,15
005190-00,Herbizid,Quizalofop-P,31.81,g/l,Tefuryl tetrahydrofurfuryl,40,g/l,0,1
005190-61,Herbizid,Quizalofop-P,31.81,g/l,Tefuryl tetrahydrofurfuryl,40,g/l,0,1
004788-00,Herbizid,Prosulfuron,750,g/kg,"",,"",0,2
044788-00,Herbizid,Prosulfuron,750,g/kg,"",,"",0,2
027467-00,Herbizid,Metsulfuron,57.8,g/kg,Methylester,60,g/kg,0,2
027467-00,Herbizid,Diflufenican,600,g/kg,"",,"",0,12
00A677-00,Herbizid,Pendimethalin,455,g/l,"",,"",0,3
006193-67,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0,
006193-67,Herbizid,Pelargonsäure,186.7,g/l,"",,"",0,
006796-62,Herbizid,Fettsäuren (C7 - C20),29.7,g/l,Caprylsäure/Caprinsäure,29.7,g/l,0,
00A049-00,Herbizid,Pelargonsäure,250,g/l,"",,"",0,
00A351-60,Herbizid,Pelargonsäure,30,g/l,"",,"",0,
00A351-00,Herbizid,Pelargonsäure,30,g/l,"",,"",0,
060122-95,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-95,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A442-00,Herbizid,Fluazifop-P,106.742,g/l,Butylester,125,g/l,0,1
033838-61,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
034107-61,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
044622-62,Herbizid,Florasulam,50,g/l,"",,"",0,2
00A501-61,Herbizid,Fluazifop-P,128.05,g/l,Butylester,150,g/l,0,1
00A336-00,Herbizid,Picolinafen,750,g/kg,"",,"",0,12
034060-64,Herbizid,Quizalofop-P,46.3,g/l,Ethylester,50,g/l,0,1
007667-61,Herbizid,Quizalofop-P,92.5,g/l,Ethylester,100,g/l,0,1
033838-65,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
008296-00,Herbizid,Fluroxypyr,280,g/l,1-Methyl-heptylester,403.5,g/l,0,4
008296-00,Herbizid,Cloquintocet,8.5,g/l,Mexyl 1-Methyl-hexylester,12,g/l,0,
008296-00,Herbizid,Halauxifen-methyl,12.5,g/l,"",,"",0,4
026173-61,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0,9
026321-60,Herbizid,Glyphosat,450,g/l,"",,"",0,9
008652-62,Herbizid,Metamitron,700,g/l,"",,"",0,5
008047-62,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-92,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-92,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008115-60,Herbizid,Rimsulfuron,250,g/kg,"",,"",0,2
00A711-60,Herbizid,Florasulam,100,g/l,"",,"",0,2
007737-00,Herbizid,Metsulfuron,79.8,g/kg,Methylester,82.8,g/kg,0,2
007737-00,Herbizid,Tribenuron,80.06,g/kg,Methylester,83,g/kg,0,2
007737-00,Herbizid,Florasulam,105,g/kg,"",,"",0,2
005890-00,Herbizid,Tribenuron,482.3,g/kg,Methylester,500,g/kg,0,2
007481-61,Herbizid,Dicamba,700,g/kg,Natrium-Salz,769.7,g/kg,0,4
00B070-00,Herbizid,"2,4-D",300,g/l,Ethylhexylester,452.3,g/l,0,4
00B070-00,Herbizid,Florasulam,6.25,g/l,"",,"",0,2
008529-64,Herbizid,Pelargonsäure,500,g/l,"",,"",0,
006385-00,Herbizid,Thifensulfuron,240.3,g/kg,Methylester,250,g/kg,0,2
006385-00,Herbizid,Tribenuron,241.15,g/kg,Methylester,250,g/kg,0,2
00A106-60,Herbizid,Pelargonsäure,43.06,g/l,"",,"",0,
00A107-60,Herbizid,Pelargonsäure,565.5,g/l,"",,"",0,
00A633-00,Herbizid,Rimsulfuron,30,g/kg,"",,"",0,2
00A633-00,Herbizid,Nicosulfuron,120,g/kg,"",,"",0,2
00A633-00,Herbizid,Mesotrione,360,g/kg,"",,"",0,27
007958-00,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
044622-00,Herbizid,Florasulam,50,g/l,"",,"",0,2
027521-00,Herbizid,Clopyralid,300,g/l,Monoethanolamin-Salz,395.3,g/l,0,4
027521-00,Herbizid,Florasulam,25,g/l,"",,"",0,2
006726-00,Herbizid,Rimsulfuron,107,g/kg,"",,"",0,2
006726-00,Herbizid,Nicosulfuron,429,g/kg,"",,"",0,2
007011-00,Herbizid,Dicamba,550,g/kg,Natrium-Salz,604.8,g/kg,0,4
007011-00,Herbizid,Rimsulfuron,23,g/kg,"",,"",0,2
007011-00,Herbizid,Nicosulfuron,92,g/kg,"",,"",0,2
00A659-00,Herbizid,Clomazone,360,g/l,"",,"",0,13
00A781-00,Herbizid,Amidosulfuron,360,g/kg,"",,"",0,2
00A781-00,Herbizid,Florpyrauxifen-benzyl,75.49,g/kg,"",,"",0,4
00A424-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
00B161-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
034145-60,Herbizid,Aclonifen,600,g/l,"",,"",0,32
024091-60,Herbizid,Chlortoluron,700,g/l,"",,"",0,
043753-60,Herbizid,Chlortoluron,700,g/l,"",,"",0,
006220-61,Herbizid,Propyzamid,400,g/l,"",,"",0,3
00A590-61,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288.078,g/l,0,4
007138-60,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
00A940-60,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
006914-62,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
006470-60,Herbizid,Metamitron,700,g/l,"",,"",0,5
060939-70,Herbizid,MCPA,500,g/l,Dimethylamin-Salz,612.35,g/l,0,4
060939-69,Herbizid,MCPA,500,g/l,Dimethylamin-Salz,612.35,g/l,0,4
034107-62,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
026427-60,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
006427-60,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
044044-60,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.39,g/l,0,9
006914-61,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
007932-00,Herbizid,Metobromuron,500,g/l,"",,"",0,5
00A126-60,Herbizid,Metamitron,700,g/l,"",,"",0,5
00A126-61,Herbizid,Metamitron,700,g/l,"",,"",0,5
034409-63,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
00B048-00,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
060122-97,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
